Annee,Nom_station_mesure,Agglo_station,CodeInsee,LATITUDE,LONGITUDE,Type_station,Moy_ann_microg/m3,Val_lim_microg/m3_en_moy_ann,Obj_qual_microg/m3_en_moy_ann,Percentile98_ann_microg/m3,Moy_jour_maxi_de_ann_microg/m3,Moyehor_maxi_ann_microg/m3,Val_lim_microg/m3_moy_hor_pas_depass_plusde18h_an,Nb_h_depass_val_lim_moy_h_pas_depass_plusde18h_an
2008,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,19,44,40,62,57,110,220,0
2007,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,21,46,40,66,69,129,230,0
2006,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,20,48,40,58,55,119,240,0
2005,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,20,50,40,60,53,109,250,0
2016,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,15,40,40,50,47,82,200,0
2016,SOURCES,LE MANS,72181,48.006205556,0.199697222,URBAINE,14,40,40,45,42,86,200,0
2015,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,15,40,40,51,50,101,200,0
2015,SOURCES,LE MANS,72181,48.006205556,0.199697222,URBAINE,14,40,40,47,42,99,200,0
2014,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,14,40,40,51,49,95,200,0
2014,SOURCES,LE MANS,72181,48.006205556,0.199697222,URBAINE,13,40,40,45,49,109,200,0
2013,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,18,40,40,55,47,102,200,0
2013,SOURCES,LE MANS,72181,48.006205556,0.199697222,URBAINE,15,40,40,49,50,107,200,0
2012,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,19,40,40,61,60,101,200,0
2012,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,17,40,40,58,57,134,200,0
2011,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,20,40,40,62,66,117,200,0
2011,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,18,40,40,59,48,173,200,0
2010,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,22,40,40,62,63,132,200,0
2010,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,21,40,40,61,53,139,200,0
2010,MENDES-FRANCE,LE MANS,72181,48.006205556,0.199697222,TRAFIC,60,40,40,143,137,303,200,15
2009,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,22,42,40,71,88,193,210,0
2009,SOURCES,LE MANS,72181,48.006205556,0.199697222,URBAINE,18,42,40,60,72,114,210,0
2008,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,23,44,40,61,58,106,220,0
2008,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,22,44,40,67,66,174,220,0
2007,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,22,46,40,63,61,102,230,0
2007,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,22,46,40,61,70,117,230,0
2006,DE GAULLE,LE MANS,72181,48.006205556,0.199697222,TRAFIC,42,48,40,84,73,133,240,0
2006,GUEDOU,LE MANS,72181,48.006205556,0.199697222,URBAINE,23,48,40,61,60,98,240,0
2006,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,22,48,40,57,52,90,240,0
2005,BEL AIR,LE MANS,72181,48.006205556,0.199697222,URBAINE,22,50,40,59,51,93,250,0
2005,DE GAULLE,LE MANS,72181,48.006205556,0.199697222,TRAFIC,42,50,40,91,92,189,250,0
2005,PREFECTURE,LE MANS,72181,48.006205556,0.199697222,URBAINE,23,50,40,61,65,118,250,0
2016,APPENTIS,ANGERS,49007,47.4473361,-0.5501,URBAINE,13,40,40,47,50,96,200,0
2016,BEAUX-ARTS,ANGERS,49007,47.4473361,-0.5501,URBAINE,16,40,40,51,47,95,200,0
2015,APPENTIS,ANGERS,49007,47.4473361,-0.5501,URBAINE,12,40,40,45,42,103,200,0
2015,BEAUX-ARTS,ANGERS,49007,47.4473361,-0.5501,URBAINE,18,40,40,53,50,155,200,0
2014,APPENTIS,ANGERS,49007,47.4473361,-0.5501,URBAINE,11,40,40,47,46,98,200,0
