_id/Annee,_id/Region,moyenne_qualite_air,moyenne_sous_indice_ozone,moyenne_sous_indice_particules_fine,moyenne_sous_indice_azote,moyenne_sous_indice_particules_souffre,somme_voiture,somme_poids_lourd,somme_montee_descente
2011,Nantes,3.936986301369863,3.7013698630136984,2.652054794520548,1.8465753424657534,0.010958904109589041,0,0,0
2011,Roche-sur-Yon,3.8575342465753426,3.6164383561643834,2.820809248554913,1.6,,0,0,0
2011,Saint-Nazaire,4.024657534246575,3.8,2.879154078549849,1.515068493150685,1.0191780821917809,0,0,0
2012,Angers,4.1256830601092895,3.439890710382514,3.5294117647058822,1.7814207650273224,,0,0,0
2012,Cholet,4.166666666666667,3.6418732782369148,3.2580645161290325,1.677685950413223,,0,0,0
2012,Laval,4.016393442622951,3.349726775956284,3.330601092896175,1.669398907103825,,0,0,0
2012,Mans,4.060109289617486,3.3524590163934427,3.4730878186968837,1.8060109289617485,1,0,0,0
2012,Nantes,4.2349726775956285,3.540983606557377,3.5546448087431695,1.9562841530054644,0,0,0,0
2012,Roche-sur-Yon,4.2349726775956285,3.4628099173553717,3.9101123595505616,1.6284153005464481,,0,0,0
2012,Saint-Nazaire,4.442622950819672,3.685792349726776,3.952247191011236,1.4781420765027322,1.0223463687150838,0,0,0
2013,Angers,4.189041095890411,3.6054794520547944,3.318681318681319,1.726027397260274,,0,0,15065
2013,Cholet,4.380821917808219,3.793956043956044,3.4161849710982657,1.5698630136986302,,0,0,2506
2013,Laval,4.038356164383561,3.389041095890411,3.25,1.7671232876712328,,0,0,4538
2013,Mans,4.090410958904109,3.5095890410958903,3.209366391184573,1.7205479452054795,,0,0,15961
2013,Nantes,4.178082191780822,3.6301369863013697,3.3013698630136985,1.8164383561643835,0,0,0,34048
2013,Roche-sur-Yon,4.063013698630137,3.5753424657534247,3.2333333333333334,1.558904109589041,,0,0,4992
2013,Saint-Nazaire,4.304109589041096,3.789041095890411,3.369186046511628,1.4054794520547946,1,0,0,7894
2014,Angers,4.032876712328767,3.652054794520548,3.1342465753424658,1.641095890410959,,0,0,0
2014,Cholet,4.005479452054795,3.682191780821918,3.186301369863014,1.5123287671232877,0,0,0,0
2014,Laval,3.7643835616438355,3.452054794520548,2.4575342465753423,1.6465753424657534,0,0,0,0
2014,Mans,3.915068493150685,3.5863013698630137,2.8958904109589043,1.5506849315068494,0,0,0,0
2014,Nantes,3.9972602739726026,3.6465753424657534,3.043835616438356,1.8602739726027397,0,0,0,0
2014,Roche-sur-Yon,4.0576923076923075,3.64010989010989,3.368131868131868,1.5027472527472527,0,0,0,0
2014,Saint-Nazaire,4.0849315068493155,3.819178082191781,2.9123287671232876,1.3835616438356164,1.0082191780821919,0,0,0
2015,Angers,4,3.5945205479452054,2.9972602739726026,1.641095890410959,0,0,0,14936
2015,Cholet,3.9808219178082194,3.6246575342465754,2.8602739726027395,1.5068493150684932,0,0,0,2531
2015,Laval,3.7753424657534245,3.345205479452055,2.808219178082192,1.7452054794520548,0,0,0,3635
2015,Mans,3.8684931506849316,3.5095890410958903,3,1.6246575342465754,0,0,0,15156
2015,Nantes,3.967123287671233,3.5506849315068494,3.0986301369863014,1.7287671232876711,0,0,0,39686
2015,Roche-sur-Yon,3.9972602739726026,3.372602739726027,3.4,1.473972602739726,0,0,0,5324
2015,Saint-Nazaire,3.9808219178082194,3.706849315068493,2.271232876712329,1.3342465753424657,1.0027397260273974,0,0,8837
2016,Angers,3.8360655737704916,3.314207650273224,2.751366120218579,1.592896174863388,0,0,0,14900
2016,Cholet,3.9098360655737703,3.4344262295081966,2.989071038251366,1.4480874316939891,0,0,0,2364
2016,Laval,3.66120218579235,3.1530054644808745,2.7540983606557377,1.6912568306010929,0,0,0,3181
2016,Mans,3.76775956284153,3.3278688524590163,2.73224043715847,1.5737704918032787,0,0,0,86222
2016,Nantes,3.789617486338798,3.3114754098360657,2.8852459016393444,1.7404371584699454,0,0,0,46075
2016,Roche-sur-Yon,3.83879781420765,3.431693989071038,2.797814207650273,1.4863387978142077,0,0,0,5586
2016,Saint-Nazaire,3.877049180327869,3.4644808743169397,2.6775956284153004,1.4371584699453552,1,0,0,7878
